age,sex,education,province,religion_importance,freq,vote
18 to 29,Female,High school or less,Alberta,Don't know,1,Conservative Party
18 to 29,Female,High school or less,Alberta,Not at all important,13,Conservative Party
18 to 29,Female,High school or less,Alberta,Not very important,11,Conservative Party
18 to 29,Female,High school or less,Alberta,Somewhat important,9,Conservative Party
18 to 29,Female,High school or less,Alberta,Very important,12,Conservative Party
18 to 29,Female,High school or less,British Columbia,Don't know,2,New Democratic Party
18 to 29,Female,High school or less,British Columbia,Not at all important,20,New Democratic Party
18 to 29,Female,High school or less,British Columbia,Not very important,12,New Democratic Party
18 to 29,Female,High school or less,British Columbia,Somewhat important,18,New Democratic Party
18 to 29,Female,High school or less,British Columbia,Very important,7,New Democratic Party
18 to 29,Female,High school or less,Manitoba,Not at all important,9,New Democratic Party
18 to 29,Female,High school or less,Manitoba,Not very important,4,New Democratic Party
18 to 29,Female,High school or less,Manitoba,Somewhat important,9,New Democratic Party
18 to 29,Female,High school or less,Manitoba,Very important,9,Conservative Party
18 to 29,Female,High school or less,New Brunswick,Not at all important,8,Green Party
18 to 29,Female,High school or less,New Brunswick,Not very important,5,Liberal Party
18 to 29,Female,High school or less,New Brunswick,Somewhat important,9,Liberal Party
18 to 29,Female,High school or less,New Brunswick,Very important,5,Liberal Party
18 to 29,Female,High school or less,Newfoundland and Labrador,Don't know,1,New Democratic Party
18 to 29,Female,High school or less,Newfoundland and Labrador,Not at all important,6,New Democratic Party
18 to 29,Female,High school or less,Newfoundland and Labrador,Not very important,7,New Democratic Party
18 to 29,Female,High school or less,Newfoundland and Labrador,Somewhat important,7,New Democratic Party
18 to 29,Female,High school or less,Newfoundland and Labrador,Very important,2,New Democratic Party
18 to 29,Female,High school or less,Nova Scotia,Not at all important,12,New Democratic Party
18 to 29,Female,High school or less,Nova Scotia,Not very important,3,Liberal Party
18 to 29,Female,High school or less,Nova Scotia,Somewhat important,7,Liberal Party
18 to 29,Female,High school or less,Nova Scotia,Very important,4,Liberal Party
18 to 29,Female,High school or less,Ontario,Don't know,3,New Democratic Party
18 to 29,Female,High school or less,Ontario,Not at all important,36,New Democratic Party
18 to 29,Female,High school or less,Ontario,Not very important,24,New Democratic Party
18 to 29,Female,High school or less,Ontario,Somewhat important,25,New Democratic Party
18 to 29,Female,High school or less,Ontario,Very important,34,Liberal Party
18 to 29,Female,High school or less,Prince Edward Island,Not at all important,5,Green Party
18 to 29,Female,High school or less,Prince Edward Island,Not very important,6,Liberal Party
18 to 29,Female,High school or less,Prince Edward Island,Somewhat important,3,Liberal Party
18 to 29,Female,High school or less,Prince Edward Island,Very important,2,Liberal Party
18 to 29,Female,High school or less,Quebec,Not at all important,19,Liberal Party
18 to 29,Female,High school or less,Quebec,Not very important,18,Liberal Party
18 to 29,Female,High school or less,Quebec,Somewhat important,12,Liberal Party
18 to 29,Female,High school or less,Quebec,Very important,16,Liberal Party
18 to 29,Female,High school or less,Saskatchewan,Not at all important,10,New Democratic Party
18 to 29,Female,High school or less,Saskatchewan,Not very important,6,New Democratic Party
18 to 29,Female,High school or less,Saskatchewan,Somewhat important,6,New Democratic Party
18 to 29,Female,High school or less,Saskatchewan,Very important,10,Conservative Party
18 to 29,Female,Some college or trade school,Alberta,Don't know,1,Conservative Party
18 to 29,Female,Some college or trade school,Alberta,Not at all important,7,Conservative Party
18 to 29,Female,Some college or trade school,Alberta,Not very important,8,Conservative Party
18 to 29,Female,Some college or trade school,Alberta,Somewhat important,9,Conservative Party
18 to 29,Female,Some college or trade school,Alberta,Very important,15,Conservative Party
18 to 29,Female,Some college or trade school,British Columbia,Not at all important,15,New Democratic Party
18 to 29,Female,Some college or trade school,British Columbia,Not very important,6,New Democratic Party
18 to 29,Female,Some college or trade school,British Columbia,Somewhat important,6,New Democratic Party
18 to 29,Female,Some college or trade school,British Columbia,Very important,8,New Democratic Party
18 to 29,Female,Some college or trade school,Manitoba,Not at all important,5,New Democratic Party
18 to 29,Female,Some college or trade school,Manitoba,Not very important,5,New Democratic Party
18 to 29,Female,Some college or trade school,Manitoba,Somewhat important,6,New Democratic Party
18 to 29,Female,Some college or trade school,Manitoba,Very important,9,Conservative Party
18 to 29,Female,Some college or trade school,New Brunswick,Not at all important,7,Liberal Party
18 to 29,Female,Some college or trade school,New Brunswick,Not very important,5,Liberal Party
18 to 29,Female,Some college or trade school,New Brunswick,Somewhat important,5,Liberal Party
18 to 29,Female,Some college or trade school,New Brunswick,Very important,7,Liberal Party
18 to 29,Female,Some college or trade school,Newfoundland and Labrador,Not at all important,3,New Democratic Party
18 to 29,Female,Some college or trade school,Newfoundland and Labrador,Not very important,5,New Democratic Party
18 to 29,Female,Some college or trade school,Newfoundland and Labrador,Somewhat important,7,Liberal Party
18 to 29,Female,Some college or trade school,Newfoundland and Labrador,Very important,2,Liberal Party
18 to 29,Female,Some college or trade school,Nova Scotia,Not at all important,12,Liberal Party
18 to 29,Female,Some college or trade school,Nova Scotia,Not very important,4,Liberal Party
18 to 29,Female,Some college or trade school,Nova Scotia,Somewhat important,3,Liberal Party
18 to 29,Female,Some college or trade school,Nova Scotia,Very important,4,Liberal Party
18 to 29,Female,Some college or trade school,Ontario,Not at all important,29,New Democratic Party
18 to 29,Female,Some college or trade school,Ontario,Not very important,22,New Democratic Party
